name,address,tags,rate,ID,representative_menu,place_price,menu_list,iamge_URL
장충체육관,서울 중구 동호로 241,"중구, 놀거리, 실내",5.0,11622959,,,[],https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_59%2F1441007338975uw1fs_JPEG%2F116065547647586_0.jpg
고씨네고추장찌개,서울 중구 수표로 26 1층,"중구, 놀거리, 실내",5.0,1865094857,고추장찌개,"23,000원","[('감자면빨전', '16,000원'), ('대게내장감바스', '19,000원'), ('용튀김', '23,000원'), ('고추장크림 파스타', '10,000원'), ('고추장크림 리조또', '10,000원'), ('시뻘낙지볶음', '20,000원'), ('두부구이', '16,000원'), ('오븐짜파구리', '11,000원'), ('자가두부두루치기', '26,000원'), ('집에서먹던핫도그', '7,000원'), ('치킨너겟과꼬마돈가스', '13,000원'), ('통닭', '20,000원'), ('안주소떡소떡', '14,000원'), ('너구리투움바', '12,000원')]",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200502_33%2F1588407498153MMqcV_JPEG%2FcPozuYuqFY2syF30gl9ppfNm.jpeg.jpg
하얀집 3호점,서울 중구 퇴계로 224 하얀집3호점,"중구, 놀거리, 실내",5.0,1184410740,낙지떡볶이,"7,000원","[('칼국수', '4,000원')]",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200408_276%2F1586335322310NzWuL_JPEG%2F46uDhjwLWDxGQIiwz6VyAsdo.jpeg.jpg
장충체육관,서울 중구 동호로 241,"중구, 놀거리, 실외",5.0,11622959,,,,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_59%2F1441007338975uw1fs_JPEG%2F116065547647586_0.jpg
히트앤핏 을지로,"서울 중구 마른내로 18 . B2(저동2가, 저동빌딩)","중구, 놀거리, 실외",5.0,1615408718,,,,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220920_92%2F1663647006489Tr49D_JPEG%2FKakaoTalk_20220906_181208147_10.jpg
장충체육관,서울 중구 동호로 241,"중구, 놀거리, 실외",5.0,11622959,,,,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_59%2F1441007338975uw1fs_JPEG%2F116065547647586_0.jpg
히트앤핏 을지로,"서울 중구 마른내로 18 . B2(저동2가, 저동빌딩)","중구, 놀거리, 실외",5.0,1615408718,,,,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220920_92%2F1663647006489Tr49D_JPEG%2FKakaoTalk_20220906_181208147_10.jpg
크로스핏 남산,서울 용산구 한강대로72길 11-18 1층,"중구, 놀거리, 실외",5.0,1719108729,,,,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220624_182%2F1656054027083gyHvw_PNG%2F8FEBC365-1AAB-4BEB-808D-5326AFF0849E.png
효창골프연습장,서울 용산구 효창원로 164 효창골프연습장,"중구, 놀거리, 실외",5.0,20204789,,,,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150901_182%2F1441038321733aKB9D_JPEG%2F136757545464895_0.jpeg
동서골프프라자,서울 용산구 청파로 314,"중구, 놀거리, 실외",5.0,12995137,,,,https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191126_45%2F1574745290171CIbDF_JPEG%2Ff08O9ojZmNDRqNnsITo-jtCY.jpg
