name,address,tags,rate,ID,representative_menu,place_price,menu_list,iamge_URL
다케오 호르몬 데판야끼,서울 중구 을지로12길 14 1층,한식,5.0,1077544597,와규 안심살,22000,"{'와규 치마살': 21000, '토시살': 17500, '부채살': 15500, '갈비살': 17500, '살치살': 21500, '마루초(대창)': 18500, '곱창': 17500, '믹스호르몬': 18500, '부채살&믹스호르몬': 19000, '야채모듬구이': 8000, '구운치즈': 9000, '카스 생맥주': 5000, '맥스 생맥주': 5000, '처음처럼': 5000}",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230907_253%2F1694071814455SKk31_JPEG%2FIMG_1763-1.
뼈탄집 을지로점,서울 중구 을지로 114-1 1층,한식,5.0,1566201265,한정판매 숙성 뼈탄삼겹살(2인이상),19000,"{'숙성삼겹살': 17000, '매운직화 뼈구이': 17000, '숙성목살': 17000, '숙성가브리살': 18000, '숙성항정살': 18000, '계탄밥': 9000}",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230904_172%2F1693812594838C1nMi_JPEG%2F%25B3%25AA_%25281%2529.jpg
명동교자 본점,서울 중구 명동10길 29,한식,5.0,11592650,칼국수,11000,"{'만두': 12000, '비빔국수': 11000, '콩국수(23년4월15일~10월15일)': 12000, '포장만두': 12000}",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20181013_227%2F1539396528420UECHH_JPEG%2FhW6fzasUvHvuw87tK52i5wGP.jpg
남기남 부대찌개 명동점,서울 중구 명동4길 16-1 2층 남기남 부대찌개,한식,5.0,1016494771,프리미엄 부대찌개,12000,"{'우삼겹 부대볶음': 14000, '프리미엄 남기남부대찌개 2인': 24000, '프리미엄 남기남부대찌개 3인': 36000, '프리미엄 남기남부대찌개 4인': 48000, '나가사끼 남기남부대찌개 2인': 24000, '나가사끼 남기남부대찌개 3인': 36000, '나가사끼 부대찌개': 12000, '우삼겹 부대찌개': 14000, '잡채': 25000, '해물파전': 20000, '계란말이': 12000, '왕만두': 10000}",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230316_91%2F1678938441946Xd74p_JPEG%2F11.jpg
산청숯불가든 을지로,서울 중구 을지로 114-6 1층,한식,5.0,1850187827,삼겹살 재래식 소금구이 (500g),58000,"{'고초장 양념구이 (160g)': 19000, '항정살 (160g/한정판매)': 21000, '한우생등심 1++ (120g)': 39000, '한우암소육회 (120g)': 23000, '가브리살 (160g/한정판매)': 19000, '검은콩 한우된장': 9000, '흑돼지 김치찌개': 9000, '김치온국수': 7000, '지리산 칡냉면 (물/비빔)': 7000, '산청볶음밥': 11000, '계란찜': 5000}",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230823_4%2F1692776851726ldnS5_PNG%2F%25BB%25EA%25C3%25BB_%25B7%25CE%25B0%25ED_%25C0%25FC%25C3%25BC_%25C0%25FC%25B4%25DE%25BF%25EB-07.png
다올 숯불구이,"서울 중구 명동8길 8-11 1, 2층",한식,5.0,1220312094,돼지양념갈비 점심특선(250g),15000,"{'LA갈비 점심정식(160g)': 18000, '돼지양념갈비(250g)': 17000, '이베리코(150g)': 19000, '숙성삼겹살(150g)': 17000, '허브닭갈비(200g)': 17000, 'LA갈비(200g)': 32000, '소양념갈비(250g)': 38000, '한우꽃등심(150g)': 49000, '소갈비살(150g)': 30000, '육회(130g)': 28000, '잡채': 25000, '해물파전': 20000, '계란찜': 10000, '버섯구이': 15000}",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231105_190%2F16991792758835guPi_PNG%2F123.png
삼겹살 전문점 대통령,서울 중구 장충단로 249-24,한식,5.0,48729816,차돌세트(차돌1인분+삼겹살2인분),59000,"{'육회세트(삼겹살2인분+육회100g)': 50000, '숙성삽겹살': 17000, '구이 삼겹살': 17000, '벌꿀먹은 빨간돼지': 17000, '한우 차돌박이 2+': 26000, '꽃게 한마리 칼국수(小)': 18000, '냉면': 7000, '김치찌개': 7000, '된장찌개': 5000, '하이볼': 8000, '홍초소주': 10000, '대통대잎술': 28000}",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230914_41%2F1694662203210p4uzj_JPEG%2FKakaoTalk_20230914_122902128.jpg
은주정,서울 중구 창경궁로8길 32,한식,5.0,13097213,저녁 고소한 삼겹살,16000,"{'(점심) 쌈싸먹는 김치찌개': 11000, '(저녁)삼겹살+김치찌개': 16000, '(점심)비빔쫄면': 9000}",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160108_58%2F1452234909445RAOOj_JPEG%2F176058556528920_0.jpg
금돼지식당,서울 중구 다산로 149,한식,5.0,37869877,눈꽃목살(1인분150g),18000,"{'본삼겹(1인분150g)': 19000, '등목살(150g)': 21000, '껍데기(120g)': 14000, '통돼지 김치찌개': 8000, '바질쌈': 5000}",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200318_209%2F1584503270761pysjC_JPEG%2FBz1xrQuuzh6QW3RhWi9bP7vG.jpeg.jpg
사랑방칼국수,서울 중구 퇴계로27길 46,한식,5.0,11720161,칼국수,7000,"{'닭곰탕': 6500, '백반': 9000, '통닭 백숙': 16000, '토종닭': 35000, '특칼국수': 7400, '곱배기 칼국수': 7200, '계란넣은칼국수': 7200, '한마리': 18000}",https://search.pstatic.net/common/?autoRotate=true&type=w560_sharpen&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_280%2F1441028593673didXq_JPEG%2F11720161_0.jpg
